title	image_file	stl_file	thingiverse_id
50 ml conical centrifuge single tube holder	50ml-x1.png	50ml-x1-v2.stl	3324289
50 ml (and 15 ml) conical tube rack	50ml-x15-15ml-x8.png	50ml-x15-v3.stl	3715116
15 ml conical centrifuge single tube holder	15ml-x1.jpg	15ml.stl	3324299
15 ml conical tube rack - 24 well plate layout	15ml-x24.png	15ml-4x6.stl	3324325
15/50 ml conical tube rack - 3x each	15ml-50ml-x3each.jpg	3x15-50.stl	3324318
15 to 50 ml tube rotator converter	15-to-50ml-converter.jpg	15-2-50-v4.stl	3023968
Antibody fridge storage rack	antibody-box-rack.jpg	antibody-fridge-box.stl	3721109
250 ml conical centrifuge single tube holder	250ml-x1.jpg	220ml-rack-v1-1.stl	5482046
250 ml conical centrifuge 4 tube rack	250ml-x4.png	250ml-rack-v3.stl	5482850
Free standing pipette rack	pipette-rack.png	pipette-stand-v2.2.stl	4673646
14 mm vial/tube rack - Addgene stab storage	14ml-x24.png	addgene-box-v2-4x6.stl	5401482
5 ml FACS tube rack - 15 tubes	5ml-x15.png	facs-tube-rack-v1-2.stl	4751339
5 ml FACS tube rack - 45 tubes	5ml-x45.jpg	facs-tube-rack-v2-2.stl	4751346
